,ID,Gender,OnBoardPeakSeason,LeavePeakSeason,Turn,DormAreaCount,SalaryBonusMean,SalaryMean,LastMonthSalaryBonus,LastMonthSalary,LastMonthSalaryPct,LastMonthSalaryBonusPct,WorkOnRestDay,ShiftRatio,LiveDormRatio,WorkHourMean,AgeRange_<=20,AgeRange_21-30,AgeRange_31-40,AreaName_EastChina,AreaName_NorthChina,AreaName_NortheastChina,AreaName_NorthwestChina,AreaName_SouthCentralChina,AreaName_SouthwestChina,OnBoardMonth_01,OnBoardMonth_02,OnBoardMonth_03,OnBoardMonth_04,OnBoardMonth_05,OnBoardMonth_06,OnBoardMonth_07,OnBoardMonth_08,OnBoardMonth_09,OnBoardMonth_10,OnBoardMonth_11,OriRecruitCat_B,OriRecruitCat_C,OriContractCat_B,OriContractCat_C,DormAreaMost_A,DormAreaMost_B,DormAreaMost_C,DormAreaMost_D,DormAreaMost_E,DormAreaMost_F,DormAreaMost_G,DormAreaMost_H,DormAreaMost_I,DormAreaMost_J,DormAreaMost_K,DormAreaMost_L,DormAreaMost_M,DormAreaMost_N,DormAreaMost_O,ShiftCategoryMost_A,ShiftCategoryMost_B,ShiftCategoryMost_C,ShiftCategoryMost_D,ShiftCategoryMost_E,ShiftCategoryMost_F,ShiftCategoryMost_G,TotalDay,Quit
360,10360,1,0,0,1,1,0.13305136,0.927592951,0.114355619,0.310473946,0.31759591,0.709864603,0.322834646,0.503937008,0.968503937,11.11111111,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,123,1
361,10361,1,0,1,1,1,0.129935403,1.095349216,0.161094972,1.326528291,0.99154076,1.239808153,0.325,0.6875,0.1125,11.31746032,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,78,1
362,10362,0,0,1,1,2,0.20918909,1.222710568,0.145515188,0.567450029,0.409430497,0.608865711,0.31641791,0.464179104,0.997014925,11.70333988,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,672,1
363,10363,1,0,1,1,1,0.122145511,0.97290691,0.098775834,0.46208083,0.31283291,0.613152805,0.319148936,0.425531915,0.978723404,11.47435897,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1
364,10364,1,0,1,0,1,0.109162357,1.163401715,0.098775834,1.492044806,1.104753643,0.760191847,0.341772152,0.708860759,0.974683544,11.68181818,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,77,1
365,10365,0,0,0,1,1,0.13305136,0.970743969,0.114355619,0.17416018,0.20447711,0.709864603,0.3125,0.4375,0.9609375,10.92929293,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,126,1
366,10366,1,0,0,0,1,0.129935403,0.914166293,0.098775834,0.481053891,0.658174315,0.613152805,0.314285714,0.5,0.978571429,11.00917431,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,137,1
367,10367,1,0,0,1,2,0.13305136,0.980372899,0.114355619,0.310735687,0.276533323,0.709864603,0.3125,0.5078125,0.96875,11.625,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,127,1
368,10368,1,0,1,0,1,0.122145511,0.841001444,0.161094972,1.30016418,0.897005396,1.239808153,0.333333333,0.333333333,0.975308642,11.25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,79,1
369,10369,1,0,0,1,1,0.145515188,0.93996008,0.114355619,0.484135573,0.568261782,0.550224888,0.314102564,0.371794872,0.987179487,11.44628099,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,154,1
